id,publisher,title,date_start,date_end,date_precision,location_text,latitude,longitude,coordinate_method,uncertainty_km,artifact_type,case_disposition,official_quote,source_url
NARA-PBB-1957-10-16-ALAMOGORDO-NM,NARA,"Alamogordo, New Mexico Film",1957-10-16,1957-10-16,day,"Alamogordo, New Mexico",32.899,-105.960,named-place centroid,10,film item,not stated in retrieved source,"Alamogordo, New Mexico Film, 10/16/1957",https://catalog.archives.gov/id/100311005
NARA-PBB-1962-10-06_07-NAHA-OKINAWA,NARA,"Naha, Okinawa Film",1962-10-06,1962-10-07,2-day range,"Naha, Okinawa",26.212,127.680,named-place centroid,10,film item,not stated in retrieved source,"Naha, Okinawa Film October 6-7, 1962",https://catalog.archives.gov/id/100311011
NARA-PBB-1954-03-07-KEESLER-AFB-MS,NARA / The Unwritten Record,"Keesler AFB, Mississippi Film",1954-03-07,1954-03-07,day,"Keesler AFB, Mississippi",30.410,-88.924,named-installation centroid,5,film item,not stated in retrieved source,"(Local Identifier:341-PBB-400) 'Keesler AFB, Mississippi Film, 3/7/1954'",https://unwritten-record.blogs.archives.gov/341-pbb-400/
NARA-PBB-1965-08-02-TULSA-OK,NARA / The Unwritten Record,"Tulsa, Oklahoma Film",1965-08-02,1965-08-02,day,"Tulsa, Oklahoma",36.154,-95.993,named-place centroid,10,film item,not stated in retrieved source,"(Local Identifier: 341-PBB-691) 'Tulsa, Oklahoma Film, 8/2/1965'",https://unwritten-record.blogs.archives.gov/341-pbb-691/
NARA-PBB-1952-07-19-WASHINGTON-DC,NARA / Pieces of History,Saucers over Washington,1952-07-19,1952-07-19,day,Washington,38.907,-77.037,named-place centroid,15,graphic / comic,not stated in retrieved source,"Saucers over Washington, July 19, 1952. (National Archives Identifier: 595553)",https://catalog.archives.gov/id/595553
